slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
verbund_ag,VERBUND AG,2023,1.0,1.0,0.0,1.0,0.0,104.025847,3.136075,107.161922,7596.0,2047.0,9643.0,2168.0,396.0,2564.0,9764.0,2443.0,12207.0,22.0,12.0,3.0,ok
banco_santander_s_a,"Banco Santander, S.A.",2023,3.0,3.0,0.0,1.0,0.0,74.947936,19.553609,94.501545,46183.0,2876.0,49059.0,2597.0,1220.0,3817.0,48780.0,4096.0,52876.0,34.0,34.0,1.0,ok
commerzbank_ag,Commerzbank AG,2023,6.0,5.0,1.0,1.0,0.0,73.73871299999999,15.021626,88.76033899999999,95577.0,2042.0,97619.0,2147.0,1026.0,3173.0,97724.0,3068.0,100792.0,23.0,23.0,1.0,ok
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,2024,1.0,1.0,0.0,1.0,0.0,78.4208,9.633707,88.054507,7594.0,1357.0,8951.0,1612.0,507.0,2119.0,9206.0,1864.0,11070.0,22.0,22.0,3.0,ok
renta_4_banco_s_a,"Renta 4 Banco, S.A.",2023,3.0,2.0,1.0,1.0,0.0,63.890085,12.568833,76.458918,32391.0,1620.0,34011.0,1625.0,634.0,2259.0,34016.0,2254.0,36270.0,37.0,37.0,2.0,ok
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,1.0,0.0,1.0,0.0,70.38801,5.49358,75.88158999999999,8164.0,2665.0,10829.0,2421.0,279.0,2700.0,10585.0,2944.0,13529.0,32.0,9.0,2.0,ok
renault,RENAULT,2024,1.0,1.0,0.0,1.0,0.0,58.871294,7.03676,65.90805399999999,8445.0,1752.0,10197.0,2014.0,431.0,2445.0,10459.0,2183.0,12642.0,25.0,8.0,1.0,ok
pva_tepla_ag,PVA TePla AG,2023,1.0,1.0,0.0,1.0,0.0,19.48168,41.694344,61.176024,8182.0,1262.0,9444.0,1305.0,624.0,1929.0,9487.0,1886.0,11373.0,19.0,19.0,1.0,ok
k_s_aktiengesellschaft,K+S Aktiengesellschaft,2023,1.0,1.0,0.0,1.0,0.0,17.524456,38.554394,56.07885,12269.0,1300.0,13569.0,1199.0,412.0,1611.0,13468.0,1712.0,15180.0,15.0,7.0,1.0,ok
leg_immobilien_se,LEG Immobilien SE,2023,1.0,1.0,0.0,1.0,0.0,17.306404,37.254289,54.560693,9428.0,1210.0,10638.0,1105.0,375.0,1480.0,10533.0,1585.0,12118.0,12.0,6.0,1.0,ok
