company_name_full,reason,url,pdf_path,size_bytes,error
1&1 AG,missing_link_report,,,,
A P MOLLER-MAERSK A/S,ok,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2024/maersk-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\a_p_moller_maersk_a_s\2024\report.pdf,10965702.0,
AB VOLVO,ok,https://www.volvogroup.com/content/dam/volvo-group/markets/master/events/2025/annual-reports/volvo-group-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\ab_volvo\2024\report.pdf,11111524.0,
ABB LTD,ok,https://library.e.abb.com/public/ab32fda35c6f4a3cb62f8c5e2e4476c6/Integrated+Report+2024_ENGLISH.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\abb_ltd\2024\report.pdf,10379494.0,
"ACS, Actividades de Construcción y Servicios, S.A.",missing_link_report,,,,
AIB Group plc,missing_link_report,,,,
AIRBUS SE,ok,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\airbus_se\2024\report.pdf,15133745.0,
AKWEL,missing_link_report,,,,
AKZO NOBEL NV,ok,https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/investor-relations-images/result-center/archive-annual-reports/2029-2020/AkzoNobel-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\akzo_nobel_nv\2024\report.pdf,38440010.0,
AMAG Austria Metall AG,missing_link_report,,,,
ARCELORMITTAL SA,ok,https://corporate.arcelormittal.com/media/3fwar2wu/2024-sustainability-report.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\arcelormittal_sa\2024\report.pdf,7971808.0,
ASML HOLDING N.V.,ok,https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\asml_holding_n_v\2024\report.pdf,32408363.0,
ASTRAZENECA PLC,ok,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2024/pdf/AstraZeneca_AR_2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\astrazeneca_plc\2024\report.pdf,4273.0,
AT&S Austria Tech.&Systemtech.,missing_link_report,,,,
ATOSS Software SE,missing_link_report,,,,
"Acciona, S.A.",missing_link_report,,,,
Acea S.p.A.,missing_link_report,,,,
Acerinox S.A.,missing_link_report,,,,
Ackermans & van Haaren,missing_link_report,,,,
Addiko Bank AG,missing_link_report,,,,
"Aena S.M.E., S.A.",missing_link_report,,,,
Agrana Beteiligungs-AG,missing_link_report,,,,
Allianz SE,missing_link_report,,,,
Alzchem Group AG,missing_link_report,,,,
Amadeus Fire AG,missing_link_report,,,,
Andritz AG,missing_link_report,,,,
"Audax Renovables, S.A.",missing_link_report,,,,
"Azkoyen, S.A.",missing_link_report,,,,
BAWAG Group AG,missing_link_report,,,,
BMW AG Vz,ok,https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2025/bericht/BMW-Group-Report-2024-en.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\bmw_ag_vz\2024\report.pdf,4198.0,
"Banco Santander, S.A.",missing_link_report,,,,
BayWa AG,missing_link_report,,,,
Bayer AG,download_error,https://www.bayer.com/sites/default/files/2025-03/bayer-annual-report-2024.pdf,,,403 Client Error: Forbidden for url: https://www.bayer.com/sites/default/files/2025-03/bayer-annual-report-2024.pdf
